Name of community,Finalist,Province or Territory,Population Based on 2016 Census,Prize category,Challenge statement,Summary,Focus areas,Community system/service areas,Technologies,URL
City of Port Colborne / Niagara Region (group),No,Ontario,18306,$ 10 million,"In moving Niagara’s sense of belonging from 72% to 90% by 2028 we will improve economic vibrancy, health behaviors and civic engagement and this will be accomplished by creating a digital ecosystem that makes ‘invisible’ members of society visible and by developing reimagined connectivity hubs that enable participation by all.","Sense of belonging, Niagara’s challenge indicator, is vital, unique and measurable with a sphere of impact broad enough that all 12 Niagara municipalities recognize its importance and see themselves in it.  Young adults rate their sense of belonging at 68% while Niagara overall is average. Other segments of the population such as homeless and addicted persons also have very low sense of belonging. Sense of belonging directly impacts health, philanthropy, civic engagement, social inclusion and economic vibrancy; which are all challenges for Niagara. Niagara has extensive experience bringing collaborative, multi-stakeholder projects to fruition. By leveraging considerable community strengths in data collection and knowledge exchange, and applying both Smart Cities and Smart Villages concepts, Niagara will improve its residents’ sense of belonging as measured by Statistics Canada. Using a life-course approach, select measures of voter turnout, health behaviours, philanthropy, median income and youth retention will chart our journey. Smart Cities Niagara will create a digital ecosystem that enables ‘invisible’ members of our society to be more visible. Newly connected people will develop and match their skills with work and volunteer opportunities.  Community hubs developed in partnership with the community will abound while mobile units reach out to ensure participation by all.",Empowerment and inclusion,Economic development|Education and training|Land use planning and development|Public health|Recreation and parks|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors,http://smartcitiesniagara.ca/application/
City of Revelstoke,No,British Columbia,7547,$ 5 million,We will improve the prosperity of Revelstoke by closing the gap between the calculated Living Wage and median incomes by 25% by increasing economic growth and reducing costs.,"The Revelstoke Smart City proposal aims to utilize big data and connected technologies to address the key issue of affordability (as measured by the gap between the living wage and the median income) that has come to significantly impact the quality of life for many of Revelstoke's residents. The proposal aims to provide three smart solutions: a collaborative shipping solution that will allow local companies to work together to take advantage of economies of scale and reduce the overall costs of both shipping items to and from Revelstoke; a big data solution using open-use data warehousing to combine quantitative data and qualitative data to drive economic growth; and robotics, artificial intelligence and sensor systems training programs that will ensure youth and workers develop the skills that will help them to be more competitive and allow them to both obtain better higher wage jobs and develop entrepreneurial tech opportunities locally. Together these solutions will allow Revelstoke to ensure that we are able to close the gap between Living Wage and median income and ultimately ensure the long term prosperity of Revelstoke's residents. ",Economic opportunity|Empowerment and inclusion,Economic development|Education and training|Land use planning and development|Roads and transportation|Social services,Artificial intelligence (AI)|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors,https://revelstoke.ca/1575/Smart-Cities-Challenge
City of Saint John,No,New Brunswick,67575,$ 10 million,Growth through Migration: Saint John will reverse its status as the only CMA in Canada to report population decline in the 2016 Census by exceeding the national average of five per cent population growth through the attraction and retention of more newcomers to contribute to a welcoming and prosperous city.,"Growth through Net-Migration: Saint John will reverse its status as the only CMA in Canada to report population decline in the 2016 Census by exceeding the national average of five per cent population growth through the attraction and retention of more newcomers to contribute to a welcoming and prosperous city.Saint John’s population fell by 2.2 per cent between 2011 and 2016, making it the only Canadian CMA to record a population decline during that period. Saint John must reverse this trend before it does greater harm to Saint John’s economy and quality of life. Smart Cities Saint John has identified two interconnected outcomes: to exceed the national average of five per cent population growth by 2024 through the attraction and retention of more newcomers, and to create an open community network rooted in trust and mutual benefits. The starting point for Saint John’s Smart Cities solution is My Saint John (MySJ), a digital solution that will utilize data and connected technologies to facilitate meaningful connections between newcomers and locals to gain meaningful employment, explore and access education options, locate affordable housing, leverage community resources and goodwill, reduce cultural barriers and gain valuable insights to inform government policies and programs.",Economic opportunity|Empowerment and inclusion,Economic development|Education and training|Land use planning and development|Social services|Other: please specify,Artificial intelligence (AI)|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors,http://www.saintjohn.ca/en/home/cityhall/legislativeservices/citymanager/smart-cities-challenge.aspx
City of St. Albert,No,Alberta,65590,$ 10 million,"St. Albert will apply a Smart Mobility vision to eliminate traffic fatalities and serious injuries, improve local travel efficiency by 20% and advance seamless regional travel, while serving as a national model for remote sensing and future travel mode readiness.","St. Albert is Alberta’s sixth largest city and one of Canada’s first and most respected Smart Cities.  Located on traditional Treaty 6 lands with a rich Indigenous, Francophone and English heritage, St. Albert has now defined specific strategies to advance data-driven decision making, service and infrastructure modernization, broad collaboration, and transparency.  Based on its local priorities, strategies, and its record of success, St. Albert now seeks to become a national model for Smart Mobility.  The City has identified three key outcome areas supported by nearly 30 partners, and a series of exciting initiatives to deliver success.  These initiatives include the adoption of artificial intelligence and adaptive technologies to improve transportation efficiency, integrated safety features to immediately avoid and respond to incidents, a widescale network of remote sensors to gather and process real-time data, future ready / inclusive policy that enables all people – regardless of ability - to move throughout the community, and frameworks for regional data sharing and seamless system integration.  Each of these efforts also include defined performance indicators.St. Albert is a proven Smart City reference site, and is ready to continue to demonstrate its openness, capability, and insights for others across Canada.",Mobility|Safety and security,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services|Waste|Water and wastewater,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables,https://stalbert.ca/dev/smart/smart-cities-challenge/
City of St. Catharines / Niagara Region (group),No,Ontario,133113,$ 10 million,"In moving Niagara’s sense of belonging from 72% to 90% by 2028 we will improve economic vibrancy, health behaviors and civic engagement and this will be accomplished by creating a digital ecosystem that makes ‘invisible’ members of society visible and by developing reimagined connectivity hubs that enable participation by all.","Sense of belonging, Niagara’s challenge indicator, is vital, unique and measurable with a sphere of impact broad enough that all 12 Niagara municipalities recognize its importance and see themselves in it.  Young adults rate their sense of belonging at 68% while Niagara overall is average. Other segments of the population such as homeless and addicted persons also have very low sense of belonging. Sense of belonging directly impacts health, philanthropy, civic engagement, social inclusion and economic vibrancy; which are all challenges for Niagara. Niagara has extensive experience bringing collaborative, multi-stakeholder projects to fruition. By leveraging considerable community strengths in data collection and knowledge exchange, and applying both Smart Cities and Smart Villages concepts, Niagara will improve its residents’ sense of belonging as measured by Statistics Canada. Using a life-course approach, select measures of voter turnout, health behaviours, philanthropy, median income and youth retention will chart our journey. Smart Cities Niagara will create a digital ecosystem that enables ‘invisible’ members of our society to be more visible. Newly connected people will develop and match their skills with work and volunteer opportunities.  Community hubs developed in partnership with the community will abound while mobile units reach out to ensure participation by all.",Empowerment and inclusion,Economic development|Education and training|Land use planning and development|Public health|Recreation and parks|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors,http://smartcitiesniagara.ca/application/
City of Thorold / Niagara Region (group),No,Ontario,18801,$ 10 million,"In moving Niagara’s sense of belonging from 72% to 90% by 2028 we will improve economic vibrancy, health behaviors and civic engagement and this will be accomplished by creating a digital ecosystem that makes ‘invisible’ members of society visible and by developing reimagined connectivity hubs that enable participation by all.","Sense of belonging, Niagara’s challenge indicator, is vital, unique and measurable with a sphere of impact broad enough that all 12 Niagara municipalities recognize its importance and see themselves in it.  Young adults rate their sense of belonging at 68% while Niagara overall is average. Other segments of the population such as homeless and addicted persons also have very low sense of belonging. Sense of belonging directly impacts health, philanthropy, civic engagement, social inclusion and economic vibrancy; which are all challenges for Niagara. Niagara has extensive experience bringing collaborative, multi-stakeholder projects to fruition. By leveraging considerable community strengths in data collection and knowledge exchange, and applying both Smart Cities and Smart Villages concepts, Niagara will improve its residents’ sense of belonging as measured by Statistics Canada. Using a life-course approach, select measures of voter turnout, health behaviours, philanthropy, median income and youth retention will chart our journey. Smart Cities Niagara will create a digital ecosystem that enables ‘invisible’ members of our society to be more visible. Newly connected people will develop and match their skills with work and volunteer opportunities.  Community hubs developed in partnership with the community will abound while mobile units reach out to ensure participation by all.",Empowerment and inclusion,Economic development|Education and training|Land use planning and development|Public health|Recreation and parks|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors,http://smartcitiesniagara.ca/application/
City of Thunder Bay,No,Ontario,107909,$ 10 million,"Reeling from the tragic deaths of Indigenous youth, Thunder Bay, in partnership with Fort William First Nation, will transform through truth and reconciliation, and investments in smart public safety technology and infrastructure – becoming a city where everyone feels safe and connected to each other and their celebrated lands and waters.","Maamawe | All Together for a Safer Thunder BayThe City of Thunder Bay’s Smart Cities Challenge proposal, in partnership with Fort William First Nation, Thunder Bay Police Service, TBaytel, Thunder Bay Hydro, and other Indigenous and community partners focuses on two key outcomes:1.	Create a Safer City for Indigenous Youth.2.	Become an Inclusive City where Indigenous youth participation is increased, and all residents feel connected and included, with a strong sense of well-being and belonging.Key project elements include:1.	Enablement Technologies - Integrated Smart City Technology Network Infrastructure2.	Public Safety Command Centre (PSCC)3.	Intelligent Video Surveillance4.	Smart Safety Pole Technology5.	Smart LED Motion Activated Lighting6.	Smart Community Hubs  (Based on Youth Engagement Sessions)7.	Development Support for Smart Technology Applications Based on extensive community consultation including youth engagement sessions, the Smart Cities Challenge proposal has been developed and shaped to best address the urgent need for a much safer community.  The proposal is closely aligned with work underway with many community and intergovernmental partners. ",Empowerment and inclusion|Safety and security,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services|Water and wastewater|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Enterprise solutions|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics|Other: Please specify,http://www.thunderbay.ca/smartcitieschallenge
City of Vaughan,No,Ontario,306233,$ 10 million,"Vaughan will continue to blend its five historic communities into “One Vaughan” with connected and engaged citizens to strengthen social cohesion and increase a sense of belonging by 10 per cent while creating new levels of accessibility to services, information and events, thereby supporting mental well-being for all Canadians.","The Smart Cities Challenge proposal by the City of Vaughan, in collaboration with our citizens, builds off the leadership of our Federal Government in placing mental well-being at the forefront of its agenda.By leveraging leading-edge technology, expertise from our Mayor’s Smart City Advisory Task Force and invaluable insight from engaged Vaughan residents, we will implement a Digital Garden concept to produce scalable, positive outcomes.Vaughan’s identity is closely linked to a number of smaller communities, with which many of our residents closely identify. The Digital Garden is a collaborative sharing platform for data, ideas and solutions. Through a centrally located Vaughan LaunchPad, in our new downtown core, our proposal seeks to use data and citizen collaboration to foster connections linking Vaughan’s five communities through Local Gardens.We are confident this will drive social cohesion and enhance a sense of belonging, while improving accessibility to City services, information and events.The concept of the Digital Garden will change the way we live, work, play and move around, placing Vaughan citizens at the cutting edge of transformation. This will cement and cultivate a “One Vaughan” sentiment and make the City of Vaughan one of the most connected and socially cohesive cities.",Empowerment and inclusion|Healthy living and recreation,Arts and culture|Economic development|Education and training|Environment|Public health|Recreation and parks|Roads and transportation|Social services,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics,http://vaughan.ca/SmartCity
City of Welland / Niagara Region (group),No,Ontario,52293,$ 10 million,"In moving Niagara’s sense of belonging from 72% to 90% by 2028 we will improve economic vibrancy, health behaviors and civic engagement and this will be accomplished by creating a digital ecosystem that makes ‘invisible’ members of society visible and by developing reimagined connectivity hubs that enable participation by all.","Sense of belonging, Niagara’s challenge indicator, is vital, unique and measurable with a sphere of impact broad enough that all 12 Niagara municipalities recognize its importance and see themselves in it.  Young adults rate their sense of belonging at 68% while Niagara overall is average. Other segments of the population such as homeless and addicted persons also have very low sense of belonging. Sense of belonging directly impacts health, philanthropy, civic engagement, social inclusion and economic vibrancy; which are all challenges for Niagara. Niagara has extensive experience bringing collaborative, multi-stakeholder projects to fruition. By leveraging considerable community strengths in data collection and knowledge exchange, and applying both Smart Cities and Smart Villages concepts, Niagara will improve its residents’ sense of belonging as measured by Statistics Canada. Using a life-course approach, select measures of voter turnout, health behaviours, philanthropy, median income and youth retention will chart our journey. Smart Cities Niagara will create a digital ecosystem that enables ‘invisible’ members of our society to be more visible. Newly connected people will develop and match their skills with work and volunteer opportunities.  Community hubs developed in partnership with the community will abound while mobile units reach out to ensure participation by all.",Empowerment and inclusion,Economic development|Education and training|Land use planning and development|Public health|Recreation and parks|Social services|Other: please specify,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors,http://smartcitiesniagara.ca/application/
City of Wetaskiwin,No,Alberta,12655,$ 5 million,"The city of Wetaskiwin is dedicated in helping its residence live in a safe and active community by being innovative and inclusive to all, access to autonomous transportation is a great opportunity to allow residents continued success in work rest and play","The ability to move people in a safe and environmentally friendly matter is the way of the future. Autonomous vehicles do not create the chaos that people do on roadways. Autonomous vehicles talk to one another allow for lane changes, allow for merging all without hard accelerations or breaking. Autonomous vehicles don't  get fatigued nor are they aggressive. The future impact of autonomous vehicles in cities will also affect the carbon footprint as autonomous vehicles have no need for traffic lights, require no fuel, an electric autonomous vehicle has zero emissions. Combustible engines have many moving parts the average electric motor 5 to 7 moving parts requiring less maintenance easier on the environment and zero emissions.The city of Wetaskiwin recognizes that it's time for a change in the way mass transit is being delivered. Not only to assist with people's movement throughout the community but in large to have a greater impact in helping the environment by lessening the emissions. Autonomous vehicles are not just in the movies anymore, autonomous vehicles are here to stay, safe, reliable and energy efficient. Changing the way we see transportation, a change for effective transportation choices.",Empowerment and inclusion|Mobility,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services,Artificial intelligence (AI)|Assistive technology|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Internet of Things (IoT)|Mobile applications|Networks|Payment platforms|Sensors|Video analytics|Wearables,http://wetaskiwin.ca
City of Whitehorse,No,Yukon,28225,$ 10 million,"After experiencing increasingly unaffordable housing costs over the past decade, our community will become a national leader in developing solutions to housing affordability.","Whitehorse has the fourth-highest average spending on shelter costs in Canada. One in five residents cannot afford market housing. With a population growth outpacing the national 5-year average by 2%, demand for building lots at  double the supply, a very low rental vacancy rate, home prices and rental costs continue to escalate beyond the realm of affordability for many people.  It is no surprise, then, that residents identified housing affordability as the community’s most-pressing issue.We will improve housing affordability in Whitehorse using a combination of technical and social innovation.  By bringing together diverse partners to create the Centre for Affordable Housing Innovation, we will pool our resources and collective wisdom to find ways to bring housing construction costs down to the point where it becomes economic to develop housing for rental purposes.  We will also find innovative ways to bring operation and maintenance costs down so more of our residents can afford market housing. In doing so, we will be able to show other communities across the country and around the world how they, too, can address housing affordability issues.  We want to become the national leader in developing affordable housing solutions.",Economic opportunity|Empowerment and inclusion,Economic development|Education and training|Environment|Land use planning and development|Public health|Roads and transportation|Social services|Waste|Water and wastewater|Other: please specify,Artificial intelligence (AI)|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Cloud computing|Internet of Things (IoT)|Mobile applications|Sensors|Other: Please specify,http://www.smartwhitehorse.ca/application
City of Windsor (group),No,Ontario,217188,$ 10 million,"We will build a bridge to prosperity for all residents of Windsor-Essex by leveraging partnerships, community resources and smart technologies that connect families to educational, employment, and health supports required to move our region’s child poverty rate below the national average in 10 years.","Windsor-Essex and its communities have recognized childhood poverty as a complex challenge influenced by multiple social and economic drivers in our region. We will build a bridge to prosperity for all residents of Windsor-Essex by leveraging partnerships, community resources and smart technologies that connect families to educational, employment, and health supports required to move our region’s child poverty rate below the national average in 10 years. We propose to apply a combination of targeted technology solutions to achieve multiple positive outcomes of enhanced nutrition, access to education, development of in-demand skills and belonging to deliver for a fully integrated approach to this complex issue. We look forward to working with our communities to improve the prospects and wellbeing of our future generations.",Economic opportunity|Empowerment and inclusion,Economic development|Education and training|Emergency services and enforcement|Public health|Roads and transportation|Social services,Artificial intelligence (AI)|Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics,https://www.smartwindsoressex.ca/
City of Winkler (group),No,Manitoba,12591,$ 10 million,"Our community will remove mobility barriers for all citizens by creating an accessible, sustainable, point deviation, machine learning, mode-integrated greenfield public transportation system made possible by connected technology and artificial intelligence that is driven by a multi-lingual mobile-enabled application.","The City of Winkler, Rural Municipality of Stanley, and City of Morden have submitted a joint Smart Cities Challenge application.  With the help of community residents, major employers, and a variety of stakeholder organizations, the Challenge is to remove mobility barriers for all community citizens—through the design, implementation, and operation of a new public transportation system that connects the cities and rural municipality.Through innovative use of data and connected technologies, the public transportation system will be capable of providing accessible, safe, comfortable, and affordable service for employment, health care, education, and shopping trips within and between the community’s centres.In the course of designing the system, the following components will be tested:-	Routing and scheduling, with an emphasis on flexibility to maximize connections to key locations and to minimize vehicle capital investments and downtime;-	New vehicle technologies that are economical, integrate with exisiting ride-hailing and single-source transport services, environmentally-sustainable, safe, accessible, and comfortable for citizens;-	Machine-learning application that, through point deviation options, enables access to service within 400 metres of every property and, through ongoing data-driven analysis, enables shift-scheduling for major employers;-	Expand intra- and inter-municipal active transportation infrastructure that complements the new public transport system.",Economic opportunity|Mobility,Arts and culture|Economic development|Education and training|Environment|Land use planning and development|Public health|Roads and transportation|Social services,Artificial intelligence (AI)|Autonomous and connected vehicles|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms,http://www.mordenmb.com/smart-cities-application/
City of Winnipeg,No,Manitoba,705244,$ 50 million,"Our community will implement an intelligent, open, and integrated municipal transportation ecosystem, reducing transportation infrastructure costs 10x over five years, while enabling mobility-as-a-service and public safety for all citizens.","Citizen & Economic Prosperity through Smart Transportation & Advanced MobilityThe Smart Transportation Evolution and Advanced Mobility (STEAM) program, comprises a cohesive portfolio of initiatives, tied together through an open and intelligent platform called the Advanced Mobility Intelligence System (AMIS). Together these will deliver meaningful outcomes in the focus areas of mobility, safety, and security by providing, expanding, and enabling transportation in new ways that keep it efficient, effective, accessible, sustainable, and safe. The immediate direct and significant impact to the city, its residents and businesses, will be followed by Winnipeg providing a blueprint and mentorship for other cities, in and beyond Canada, to follow suit.Winnipeg’s challenges are Canadian challenges; with emergency services, infrastructure renewal and expansion, and public transit the most substantial components of Winnipeg’s budget investments. Like all cities in Canada, we face increasing pressures from aging infrastructure, evolving demographics resulting in new demands on our municipal services, new safety concerns, environmental change, and budget limitations. The need for cities to adopt intelligent, creative, and modern approaches to solving longstanding as well as new challenges has never been greater, Winnipeg will harness the Smart Cities Challenge to fundamentally improve the prosperity of its citizens and economy.",Mobility|Safety and security,Economic development|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Other: please specify,Artificial intelligence (AI)|Assistive technology|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Sensors|Video analytics|Wearables|Other: Please specify,http://www.winnipeg.ca/interhom/SmartCitiesChallenge/default.stm
Coaticook,No,Quebec,18497,$ 10 million,"To boost the dynamic occupation of the territory by our citizens, organizations, institutions and businesses through a major technological shift that will guarantee dynamic community services equivalent to those of urban centres and that will stimulate, through research and innovation, the vitality of our region, particularly that of agricultural businesses.","The strength of our territories lies in the intelligence and vibrancy of our communities. Our citizens are relying on the confirmed implementation of fibre optics in our RCM to initiate an unprecedented technological shift. A number of sectors that have an impact on our population’s quality of life will be called upon. The project’s objective is to maintain or improve the dynamic occupation of our territory by putting citizens at the centre of the action. This will include solutions to transportation issues, the offer of accessible services and the need for technological input to stimulate economic development. The project has three components that work together in achieving these objectives: The first is to connect, through interactive videoconferencing systems, a community centre in each municipality to services/activities offered in more populated communities. The second will make it possible to monitor, in real time and augmented reality, the health condition of isolated seniors to make it easier to keep them at home in our communities. The third will aim to connect, in real time and interactively, livestock production plants to animal health and nutrition experts in order to optimize their production and thus ensure the dynamic occupation of the territory. ",Empowerment and inclusion|Healthy living and recreation,Arts and culture|Economic development|Education and training|Public health|Recreation and parks|Social services,Assistive technology|Augmented reality (AR) or Virtual reality (VR)|Health or Medical technology|Internet of Things (IoT)|Mobile applications,http://www.mrcdecoaticook.qc.ca/services/defi.php
Corner Brook,No,Newfoundland and Labrador,19806,$ 5 million,"Newfoundland has the highest unemployment rate in the country at nearly 2.5 times the national average.  With over a 10% current unemployment rate in the City, we will reduce our rate to levels seen in other areas of Atlantic Canada.","Imagine It, Develop It, Market It - these are the three pillars of Corner Brook's Smart City vision.  Through empowering residents and guiding the entrepreneurial spirit using smart technologies, communities of all sizes can take charge of economic development in their regions.  Imagine It (Collaboration Empowerment Technology): A ""digital town square"" smartphone application and website to facilitate the transfer of information between individuals and organizations looking to innovate to improve their community and provide economic opportunities.  The app will focus on facilitating enterprise creation, fostering a ""do it yourself"" empowerment mentality, guidance through government programs, and creating efficient use of resources.  Develop It (Product Development Maker Space): A bricks and mortar maker space that brings the knowledge and infrastructure of smart technology to budding and small businesses.  This incubator will break down barriers by helping small businesses navigate skills deficiencies, regulations, and market requirements while providing smart technology knowledge and access.  Market It (Smart Market): Farmers Market that relies on smart technology to improve vendor participation, product selection, customer service, and continuous improvement feedback.  This will provide a technological framework for co-operative style markets and businesses.  Here, smart technology will be used to break down barriers facing new and growing businesses.   ",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Environment|Recreation and parks|Social services|Waste,Big data analytics|Cloud computing|Enterprise solutions|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms,http://www.cornerbrook.com/smartcities/
County of Bruce,No,Ontario,68147,$ 10 million,"Bruce County, and the surrounding region, is an energy economic hub, able to advance Canada as a world-leader in the development, adoption and application of energy and environmental technologies.","The outcome of this proposal is to establish a one-window, coordinated approach to advancing technologies, innovation and addressing labour market supply in the energy sector, principally the nuclear industry, through the development of an Energy Applied Research and Training Centre (‘The Centre’).The Centre includes 2 integrated pillars: 3.	A Skilled Trades Secretariat; and 4.	An Energy Innovation Hub, focusing on:e)	Isotopes, Health & Environmental Excellencef)	Indigenous Advancement & Economic Developmentg)	Artificial Intelligence & Cyber Securityh)	Nuclear Operational ExcellenceA Skilled Trades Secretariat will increase and support the supply of skilled trades to meet future demand; and, support industry in career training requirements and skills upgrading opportunities for new or underemployed members of the workforce.The Energy Innovation Hub will provide a flexible, co-location, incubator and accelerator space that brings together entrepreneurs and leaders in the energy sector to work alongside other like-minded entrepreneurs to share ideas, enhance networks, and discuss challenges and opportunities. The Centre will bring together all of these opportunities and create a centralized innovation model for expanding skilled trades development and applied research; fostering collaboration and support across the incubation and acceleration community both in our region, Ontario and beyond.",Economic opportunity|Environmental quality,Economic development|Education and training|Environment|Public health|Social services|Waste,Artificial intelligence (AI)|Environmental monitoring|Health or Medical technology,https://brucecounty.on.ca/smart-cities-challenge
County of Grande Prairie No. 1,No,Alberta,22502,$ 5 million,"All residents, businesses and community groups will be empowered to connect with their local government and feel that the issues that matter to them are heard and addressed accurately, consistently and in a timely fashion through any means of communication.","All residents, businesses and community groups will be empowered to connect with their local government and feel that the issues that matter to them are heard and addressed accurately, consistently and in a timely fashion through any means of communication.Areas within the scope of this project would include:Rebuilding the County’s website to be more modern, responsive and intuitive to include cutting-edge technology such as artificial intelligence chat bot, create an intuitive and consistent environment to navigate and the creation of a “Dark Site”. The implementation of an online platform for reporting and tracking issues and requests.The creation of a knowledgebase to enable all staff to be able to quickly respond to questions when contacted by residents.Revamping of the open data portal to further enhance accessibility and transparency.The creation of a mobile app to make the most popular content on the existing website more easily accessible. An enhanced job application portal will be created allowing for users to quickly access information on any position at the County.The County’s mapping system will be enhanced with a voice-guided navigation system allowing individuals to easily and safely navigate throughout the County.",Empowerment and inclusion|Safety and security,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Recreation and parks|Social services,Artificial intelligence (AI)|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Payment platforms|Video analytics,http://www.countygp.ab.ca/smartcities
County of Simcoe,No,Ontario,479650,$ 10 million,"After years of increasing flood susceptibility, Simcoe County, partner municipalities and agencies will utilize innovative ‘smart technologies’ to reduce future damages and public risk by at least 50%; provide timely flood notifications to residents within at-risk areas; and, implement effective partnership measures to mitigate flooding concerns with emergency management services.","The County of Simcoe (Ontario) is comprised of 16 Towns and Townships, and the Cities of Barrie and Orillia. The 2016 census population was 479,650 people. For many years, the County has implemented proactive, science-based and proven technology programs to provide residents with a safer and healthy environment. Over the next 20 years, Simcoe County will experience significant population growth. When and where will flooding occur next in my municipality? Canadian municipalities, including the County of Simcoe, are asking this important question given the increasing frequency in flood events. Therefore, the Smart Cities Challenge Statement for Simcoe County is to implement ‘smart’ forecasting and preventative measures to: 1)	Reduce flood damage risk and citizen health susceptibility by at least 50%; 2)	Provide residents timely notifications / locations of at-risk areas from flood events; and,3)	Ensure measures to effectively implement flood mitigation / emergency response services. This will be accomplished using an Internet, Artificial Intelligence (AI)-enabled flood forecasting and risk mapping platform with real-time sensors located within priority urban settlement and rural land areas. The Project will also work with media partners to provide frequent updates or alerts about flooding conditions and inform residents who do not have mobile connectivity.",Environmental quality|Safety and security,Emergency services and enforcement|Environment|Land use planning and development|Public health|Roads and transportation|Water and wastewater,Artificial intelligence (AI)|Big data analytics|Cloud computing|Geospatial|Internet of Things (IoT)|Networks|Open data platforms|Sensors|Other: Please specify,https://www.simcoe.ca/smartcitieschallenge
Cree Nation of Chisasibi,No,Quebec,4870,$ 5 million,Our community plans to implement environmental tracking elements linked to our community-wide wifi network. The environmental tracking will enable a better understanding of climactic changes to ancestral lands using state of the art technologies. The wifi network linked to street lighting will improve safety while encouraging and increasing recreational activity.,"Our community plans to implement environmental tracking elements linked to our community-wide Wi-Fi network. The environmental tracking will enable a better understanding of climactic changes to ancestral lands using state of the art technologies. The Wi-Fi network linked to street lighting will improve safety while encouraging and increasing recreational activity. Training and employment of local population will be integral to the project on all levels. The improvement to all aspects of the health of the community are key components and are main drivers in ensuring the success and sustainability of this important project. The smart city project will bring security, safety, technology and innovation to the community and allow them to thrive and grow with this exposure.",Environmental quality|Healthy living and recreation,Economic development|Education and training|Emergency services and enforcement|Environment|Public health|Recreation and parks|Roads and transportation|Social services,Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Networks|Open data platforms,http://www.chisasibi.org
